Entity,Code,Date,"Deaths, 2020, all ages","Average deaths, 2015–2019, all ages",deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages
Austria,AUT,2020-01-05,1611,1809,1704,1634,2293,1767,1647
Austria,AUT,2020-01-12,1702,1857,1768,1626,2340,1842,1709
Austria,AUT,2020-01-19,1797,1786,1837,1608,2060,1786,1641
Austria,AUT,2020-01-26,1779,1747,1792,1578,1938,1714,1713
Austria,AUT,2020-02-02,1947,1819,1837,1609,2045,1870,1732
Austria,AUT,2020-02-09,1680,1837,1926,1650,1874,1938,1796
Austria,AUT,2020-02-16,1721,1813,1992,1621,1750,1881,1820
Austria,AUT,2020-02-23,1718,1822,2020,1581,1807,1951,1751
Austria,AUT,2020-03-01,1768,1816,1883,1714,1696,2021,1764
Austria,AUT,2020-03-08,1744,1754,1846,1532,1614,1965,1811
Austria,AUT,2020-03-15,1718,1711,1763,1516,1542,1946,1790
Austria,AUT,2020-03-22,1836,1598,1696,1499,1535,1641,1619
Austria,AUT,2020-03-29,1764,1646,1725,1598,1489,1766,1651
Austria,AUT,2020-04-05,1828,1585,1604,1562,1537,1617,1607
Austria,AUT,2020-04-12,1793,1546,1563,1520,1532,1560,1556
Austria,AUT,2020-04-19,1704,1523,1614,1413,1475,1557,1558
Austria,AUT,2020-04-26,1588,1470,1547,1460,1440,1383,1521
Austria,AUT,2020-05-03,1480,1465,1453,1447,1527,1434,1462
Austria,AUT,2020-05-10,1520,1439,1452,1486,1434,1372,1453
Austria,AUT,2020-05-17,1489,1463,1461,1453,1501,1342,1558
Austria,AUT,2020-05-24,1481,1422,1396,1505,1327,1383,1497
Austria,AUT,2020-05-31,1415,1414,1304,1402,1456,1415,1495
Austria,AUT,2020-06-07,1490,1412,1437,1360,1312,1433,1520
Austria,AUT,2020-06-14,1461,1443,1502,1348,1421,1392,1554
Austria,AUT,2020-06-21,1413,1408,1285,1452,1476,1401,1424
Austria,AUT,2020-06-28,1437,1400,1374,1338,1419,1414,1454
Austria,AUT,2020-07-05,1559,1435,1487,1328,1413,1441,1507
Austria,AUT,2020-07-12,1383,1377,1476,1323,1346,1404,1338
Austria,AUT,2020-07-19,1443,1470,1475,1458,1475,1511,1430
Austria,AUT,2020-07-26,1452,1489,1633,1424,1375,1455,1557
Austria,AUT,2020-08-02,1525,1505,1446,1390,1616,1615,1457
Austria,AUT,2020-08-09,1431,1426,1500,1359,1334,1532,1406
Austria,AUT,2020-08-16,1605,1461,1692,1394,1380,1430,1407
Austria,AUT,2020-08-23,1476,1434,1376,1408,1472,1460,1453
Austria,AUT,2020-08-30,1497,1427,1476,1414,1329,1414,1501
Austria,AUT,2020-09-06,1518,1377,1389,1380,1318,1376,1423
Austria,AUT,2020-09-13,1561,1425,1447,1392,1426,1452,1407
Austria,AUT,2020-09-20,1559,1423,1459,1376,1407,1421,1452
Austria,AUT,2020-09-27,1523,1472,1410,1442,1496,1436,1574
Austria,AUT,2020-10-04,1575,1510,1494,1469,1481,1553,1555
Belgium,BEL,2020-01-05,2226,2390,2461,2244,2557,2382,2308
Belgium,BEL,2020-01-12,2381,2432,2525,2234,2735,2317,2347
Belgium,BEL,2020-01-19,2306,2423,2526,2295,2645,2336,2312
Belgium,BEL,2020-01-26,2197,2422,2510,2263,2691,2253,2395
Belgium,BEL,2020-02-02,2355,2510,2644,2180,2950,2355,2421
Belgium,BEL,2020-02-09,2162,2488,2727,2127,2691,2353,2544
Belgium,BEL,2020-02-16,2302,2524,2892,2121,2631,2565,2409
Belgium,BEL,2020-02-23,2293,2488,2774,2230,2389,2628,2418
Belgium,BEL,2020-03-01,2237,2545,2643,2336,2315,3002,2428
Belgium,BEL,2020-03-08,2212,2453,2457,2264,2138,3016,2389
Belgium,BEL,2020-03-15,2223,2345,2380,2248,2036,2724,2335
Belgium,BEL,2020-03-22,2547,2322,2380,2364,2106,2594,2167
Belgium,BEL,2020-03-29,3186,2227,2270,2273,2068,2460,2063
Belgium,BEL,2020-04-05,4019,2120,2163,2080,1969,2203,2183
