Entity,Code,Date,Year2020,Average,Year2015,Year2016,Year2017,Year2018,Year2019,Week
United States,USA,1/5/2020,59976,59860,59335,55784,59760,66129,58290,1
United States,USA,1/12/2020,60480,60813,61731,55523,60975,67491,58347,2
United States,USA,1/19/2020,59057,59686,61135,55178,59286,64641,58189,3
United States,USA,1/26/2020,58678,58575,58622,55602,58045,62777,57830,4
United States,USA,2/2/2020,58472,57936,57264,54891,58427,60972,58125,5
United States,USA,2/9/2020,59190,58203,57277,55103,59037,61107,58489,6
United States,USA,2/16/2020,58617,57671,56413,55781,58474,59774,57914,7
United States,USA,2/23/2020,58625,57027,56342,54862,58283,57790,57857,8
United States,USA,3/1/2020,59069,56677,55659,55871,57250,56690,57917,9
United States,USA,3/8/2020,59435,56977,55724,56106,57469,57089,58497,10
United States,USA,3/15/2020,58442,56115,55262,54452,56650,56317,57895,11
United States,USA,3/22/2020,58992,55759,54253,54660,57041,55758,57084,12
United States,USA,3/29/2020,62751,54877,53229,53879,55697,54913,56669,13
United States,USA,4/5/2020,71993,54818,52999,54059,55153,55285,56593,14
United States,USA,4/12/2020,78779,54346,52690,53484,54858,55223,55477,15
United States,USA,4/19/2020,76480,53507,52839,53144,53067,54031,54454,16
United States,USA,4/26/2020,73542,52655,51603,51020,53289,53719,53646,17
United States,USA,5/3/2020,68954,52617,51457,51266,52654,53734,53972,18
United States,USA,5/10/2020,66574,52037,51651,50992,51981,52101,53458,19
United States,USA,5/17/2020,64248,51554,50667,50461,52476,50617,53548,20
United States,USA,5/24/2020,61344,51074,49324,50487,50967,50923,53668,21
United States,USA,5/31/2020,59388,50883,49713,49706,51248,51037,52710,22
United States,USA,6/7/2020,58587,51097,49033,49914,51412,51998,53126,23
United States,USA,6/14/2020,57693,50890,49743,49906,50790,51383,52626,24
United States,USA,6/21/2020,57628,50644,49101,49617,51192,51043,52266,25
United States,USA,6/28/2020,58100,50488,49053,49743,50611,50851,52182,26
United States,USA,7/5/2020,59341,50773,49207,49695,50957,51681,52324,27
United States,USA,7/12/2020,61339,50322,48908,49632,49972,51188,51912,28
United States,USA,7/19/2020,62493,50165,49220,49266,50120,50604,51617,29
United States,USA,7/26/2020,63461,49894,48538,49690,49360,50267,51616,30
United States,USA,8/2/2020,63226,49966,48256,49501,50084,50633,51357,31
United States,USA,8/9/2020,62542,50062,47728,49734,50232,50963,51653,32
United States,USA,8/16/2020,61898,49838,47972,49806,50184,50295,50934,33
United States,USA,8/23/2020,59960,49773,48430,49502,49514,50453,50966,34
United States,USA,8/30/2020,57369,50118,48487,49573,50824,50600,51106,35
United States,USA,9/6/2020,55514,50363,48714,50066,50973,50292,51772,36
